City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Fangshan,CN,39.6983,115.9925,79.75,86,31,1.07,scattered clouds
140,Tasiilaq,GL,65.6145,-37.6368,40.06,98,100,3.06,light rain
141,Hilo,US,19.7297,-155.09,80.28,94,90,4.61,moderate rain
142,Haines Junction,CA,60.7522,-137.5108,57.15,58,64,1.14,broken clouds
143,Port Hueneme,US,34.1478,-119.1951,96.06,75,75,5.75,broken clouds
144,Karratha,AU,-20.7377,116.8463,70.97,38,4,10.65,clear sky
145,Babati,TZ,-4.2167,35.75,60.67,64,17,3.53,few clouds
146,Hit,IQ,33.6416,42.8251,99.16,17,0,11.74,clear sky
147,Pafos,CY,34.7667,32.4167,82.31,83,20,6.91,few clouds
148,Tamasane,BW,-22.4184,27.4013,51.33,49,0,8.75,clear sky
149,Hemsedal,NO,60.8629,8.5534,74.23,63,39,3.33,scattered clouds
150,Tiksi,RU,71.6872,128.8694,43.39,85,97,4.72,light rain
151,Port Lincoln,AU,-34.7333,135.8667,54.23,78,50,30.51,scattered clouds
152,Bereda,ES,43.2686,-7.5406,69.42,68,65,7.0,broken clouds
153,Esperance,AU,-33.8667,121.9,46.24,78,86,24.54,overcast clouds
154,Shetpe,KZ,44.1667,52.1167,81.18,49,61,8.57,broken clouds
155,Maua,BR,-23.6678,-46.4614,77.52,39,0,5.1,clear sky
156,Yar-Sale,RU,66.8333,70.8333,49.5,92,96,28.54,overcast clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,97.52,65,4,7.49,clear sky
158,Yellowknife,CA,62.456,-114.3525,67.32,100,40,6.91,mist
159,Sept-Iles,CA,50.2001,-66.3821,68.43,84,90,8.01,overcast clouds
160,Sakakah,SA,29.9697,40.2064,96.37,20,0,9.62,clear sky
161,Arlit,NE,18.7369,7.3853,101.07,22,45,6.62,scattered clouds
162,Billings,US,45.7833,-108.5007,90.37,23,0,5.01,clear sky
163,Sinegorye,RU,62.0788,150.477,52.29,96,100,2.33,overcast clouds
164,Say,NE,13.1007,2.3689,84.76,38,51,4.99,broken clouds
165,Port Hawkesbury,CA,45.6169,-61.3485,71.04,71,20,5.01,few clouds
166,Puerto Narino,CO,-3.7703,-70.3831,89.55,38,62,3.96,broken clouds
167,Loreto,MX,22.2667,-101.9667,73.17,46,13,7.45,few clouds
168,Nacala,MZ,-14.5428,40.6728,72.72,88,75,10.36,light rain
169,Itapirapua,BR,-15.8233,-50.6133,92.7,18,18,8.39,few clouds
170,Matagami,CA,49.7502,-77.6328,73.51,43,1,0.0,clear sky
171,Antofagasta,CL,-23.65,-70.4,58.28,69,3,7.34,clear sky
172,East London,ZA,-33.0153,27.9116,49.14,81,20,8.05,moderate rain
173,Changji,CN,44.0167,87.3167,84.99,34,75,2.24,thunderstorm
174,Puerto Leguizamo,CO,-0.1934,-74.7819,86.38,52,84,4.79,broken clouds
175,Abalak,RU,58.1286,68.5944,61.88,95,73,5.57,broken clouds
176,Adrar,MR,20.5022,-10.0711,108.21,10,13,8.03,few clouds
177,Cao Bang,VN,22.6667,106.25,75.94,96,60,3.13,broken clouds
178,Saravena,CO,6.9538,-71.8752,79.75,88,98,2.13,overcast clouds
179,Kruisfontein,ZA,-34.0033,24.7314,47.88,80,87,4.74,overcast clouds
180,Solhan,TR,38.9634,41.0293,73.44,45,46,6.49,scattered clouds
181,Touros,BR,-5.1989,-35.4608,85.1,62,2,19.39,clear sky
182,Ovre Ardal,NO,61.3167,7.8,79.68,39,5,3.89,clear sky
183,Souillac,MU,-20.5167,57.5167,71.98,73,75,6.91,broken clouds
184,Novorudnyy,RU,51.5026,58.1873,68.49,80,100,10.56,light rain
185,Taltal,CL,-25.4,-70.4833,59.86,73,32,6.08,scattered clouds
186,Iqaluit,CA,63.7506,-68.5145,53.33,66,90,16.11,light rain
187,Vila,PT,42.0304,-8.1588,66.74,66,57,9.1,broken clouds
188,Joshimath,IN,30.5667,79.5667,71.29,86,79,1.77,broken clouds
189,Biak,ID,-0.9131,122.8766,74.03,80,99,7.2,overcast clouds
190,Hasaki,JP,35.7333,140.8333,73.8,86,1,2.57,clear sky
191,Mar Del Plata,AR,-38.0023,-57.5575,67.12,59,0,5.99,clear sky
192,Kaitangata,NZ,-46.2817,169.8464,41.94,79,55,5.01,broken clouds
193,Tessalit,ML,20.1986,1.0114,87.91,41,68,18.79,broken clouds
194,Kandrian,PG,-6.2167,149.55,77.0,92,74,6.85,broken clouds
195,Hornepayne,CA,49.2138,-84.7705,81.3,30,34,8.86,scattered clouds
196,Bowen,AU,-20.0167,148.2333,70.02,87,40,9.75,scattered clouds
197,Buraydah,SA,26.326,43.975,106.25,12,5,10.89,clear sky
198,Kangaatsiaq,GL,68.3065,-53.4641,39.51,93,100,19.06,overcast clouds
199,Port Elizabeth,ZA,-33.918,25.5701,50.09,87,0,2.3,clear sky
200,Salalah,OM,17.0151,54.0924,77.85,96,100,6.44,overcast clouds
201,Moussoro,TD,13.6408,16.4901,85.86,54,95,8.63,overcast clouds
202,Cherskiy,RU,68.75,161.3,41.13,80,0,6.04,clear sky
203,Lata,PT,40.1629,-8.3327,77.04,54,89,10.18,overcast clouds
204,Deputatskiy,RU,69.3,139.9,49.6,78,91,3.0,overcast clouds
205,Ugento,IT,39.9263,18.1574,78.96,57,0,5.28,clear sky
206,Atuona,PF,-9.8,-139.0333,76.6,76,57,10.65,broken clouds
207,Catamarca,AR,-28.4696,-65.7852,83.59,35,1,1.99,clear sky
208,Labuan,MY,5.2767,115.2417,80.76,94,20,1.14,few clouds
209,Miracema Do Tocantins,BR,-9.5618,-48.3967,95.16,23,1,8.72,clear sky
210,Fortuna,US,40.5982,-124.1573,69.93,71,1,1.99,clear sky
211,Klaksvik,FO,62.2266,-6.589,52.72,88,99,18.28,overcast clouds
212,Copiapo,CL,-27.3667,-70.3333,49.69,39,21,6.24,few clouds
213,Bengkulu,ID,-3.8004,102.2655,75.83,86,76,3.91,broken clouds
214,Huainan,CN,32.6264,116.9969,73.87,92,11,6.87,few clouds
215,Naze,JP,28.3667,129.4833,77.58,90,100,28.14,overcast clouds
216,Opuwo,NA,-18.0607,13.84,63.19,14,0,9.51,clear sky
217,Zhangjiakou,CN,40.81,114.8794,69.64,90,84,4.14,broken clouds
218,Warmbad,NA,-28.45,18.7333,48.47,22,0,12.33,clear sky
219,Moroto,UG,2.5345,34.6666,70.81,69,90,2.86,overcast clouds
220,Roebourne,AU,-20.7833,117.1333,71.37,38,3,10.25,clear sky
221,Harper,LR,4.375,-7.7169,77.95,72,89,9.33,overcast clouds
222,Camacha,PT,33.0833,-16.3333,72.36,73,40,14.97,scattered clouds
223,Yulara,AU,-25.2406,130.9889,44.44,57,1,0.0,clear sky
224,Jardim,BR,-21.4803,-56.1381,92.21,19,0,8.95,clear sky
225,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,58,50,8.57,scattered clouds
226,Grand Gaube,MU,-20.0064,57.6608,72.0,74,32,3.0,scattered clouds
227,Sao Filipe,CV,14.8961,-24.4956,73.35,78,26,10.54,scattered clouds
228,Aswan,EG,24.0934,32.907,101.5,18,0,17.27,clear sky
229,Vestmanna,FO,62.1564,-7.1664,50.92,93,20,5.75,few clouds
230,Belmonte,BR,-15.8631,-38.8828,78.8,60,86,13.29,overcast clouds
231,Ponta Do Sol,PT,32.6667,-17.1,78.71,71,3,4.32,clear sky
232,Alyangula,AU,-13.8483,136.4192,62.47,94,64,0.0,broken clouds
233,Bandarbeyla,SO,9.4942,50.8122,76.96,81,39,36.31,scattered clouds
234,Valadares,PT,41.1474,-7.9812,65.55,54,36,8.61,scattered clouds
235,Hoyanger,NO,61.2204,6.0749,84.07,60,3,4.88,clear sky
236,Northam,GB,51.0333,-4.2167,71.35,67,100,13.27,overcast clouds
237,Sangmelima,CM,2.9333,11.9833,69.15,94,91,2.93,light rain
238,Castro,BR,-24.7911,-50.0119,71.67,36,0,5.32,clear sky
239,Carman,CA,49.4992,-98.0016,89.92,51,69,8.05,broken clouds
240,Maltahohe,NA,-24.8333,16.9833,49.08,16,0,11.83,clear sky
241,Praia Da Vitoria,PT,38.7333,-27.0667,82.65,65,75,10.4,broken clouds
242,Teya,RU,60.3778,92.6267,61.0,83,19,2.51,few clouds
243,Saint-Philippe,RE,-21.3585,55.7679,69.39,73,67,6.73,light rain
244,Krasnyy Chikoy,RU,50.3643,108.7512,54.95,94,10,3.42,clear sky
245,Lysyye Gory,RU,51.5506,44.8414,62.94,60,0,5.06,clear sky
246,Immokalee,US,26.4187,-81.4173,96.94,55,20,0.0,few clouds
247,Lashio,MM,22.9333,97.75,69.26,99,100,1.12,overcast clouds
248,Coihaique,CL,-45.5752,-72.0662,46.35,61,75,9.22,broken clouds
249,Tucurui,BR,-3.7661,-49.6725,94.06,28,29,5.26,scattered clouds
250,Cavalcante,BR,-13.7975,-47.4583,83.46,26,49,10.49,scattered clouds
251,Oksbol,DK,55.6268,8.2876,68.61,71,66,5.75,broken clouds
252,Gawler,AU,-34.6,138.7333,53.11,88,56,16.11,broken clouds
253,Ardino,BG,41.5833,25.1333,77.45,55,63,4.72,broken clouds
254,Guanica,PR,17.9716,-66.908,90.5,71,9,5.99,clear sky
255,Codrington,AU,-38.2667,141.9667,45.52,90,58,17.81,broken clouds
256,Pedasi,PA,7.5333,-80.0333,81.73,77,98,7.67,overcast clouds
257,West Odessa,US,31.8424,-102.4988,90.82,47,24,10.69,few clouds
258,Alofi,NU,-19.0595,-169.9187,75.09,100,17,9.22,few clouds
259,Suratgarh,IN,29.3167,73.9,92.57,53,100,8.28,overcast clouds
260,Fauldhouse,GB,55.8275,-3.7074,77.94,65,89,7.56,overcast clouds
261,Imeni Babushkina,RU,59.7573,43.1285,50.9,94,100,4.47,overcast clouds
262,Ilebo,CD,-4.3167,20.5833,83.14,26,70,0.72,broken clouds
263,Qaqortoq,GL,60.7167,-46.0333,48.31,69,9,13.8,clear sky
264,Itaituba,BR,-4.2761,-55.9836,93.36,55,40,11.5,scattered clouds
265,Vardo,NO,70.3705,31.1107,48.4,81,75,21.85,broken clouds
266,Ormara,PK,25.2088,64.6357,82.65,83,87,7.85,overcast clouds
267,La Macarena,CO,2.1837,-73.7849,80.19,72,100,5.88,overcast clouds
268,Kieta,PG,-6.2167,155.6333,77.85,86,47,3.53,light rain
269,Ayame,CI,5.6083,-3.1563,76.73,74,91,7.23,overcast clouds
270,Nanortalik,GL,60.1432,-45.2371,43.9,83,52,14.67,broken clouds
271,Kanniyakumari,IN,8.0833,77.5667,79.95,80,98,20.11,overcast clouds
272,Nikolayevsk-Na-Amure,RU,53.1406,140.73,68.0,89,83,2.86,broken clouds
273,Grootfontein,NA,-19.5667,18.1167,52.74,10,0,8.32,clear sky
274,Egvekinot,RU,66.3167,-179.1667,42.28,94,85,4.32,overcast clouds
275,Ayagoz,KZ,47.9714,80.4392,68.41,69,83,5.21,broken clouds
276,Ancud,CL,-41.8697,-73.8203,49.53,57,12,5.19,few clouds
277,Kununurra,AU,-15.7667,128.7333,60.78,82,30,0.0,scattered clouds
278,Sivaki,RU,52.6333,126.75,69.15,97,69,10.67,light rain
279,Todos Santos,MX,23.45,-110.2167,97.02,84,4,7.0,clear sky
280,Cairns,AU,-16.9167,145.7667,67.95,91,9,5.75,clear sky
281,Chuy,UY,-33.6971,-53.4616,68.16,66,6,6.44,clear sky
282,Batemans Bay,AU,-35.7167,150.1833,52.2,85,100,3.27,overcast clouds
283,Ust-Tsilma,RU,65.441,52.1498,49.32,98,100,5.73,overcast clouds
284,Oksfjord,NO,70.2396,22.3479,51.87,93,100,19.24,overcast clouds
285,Victoria,HK,22.2855,114.1577,87.33,85,38,4.0,scattered clouds
286,Kimbe,PG,-5.5502,150.1429,75.02,93,95,3.87,overcast clouds
287,Albertville,US,34.2676,-86.2089,89.85,59,1,3.0,clear sky
288,Thompson,CA,55.7435,-97.8558,73.56,35,1,20.71,clear sky
289,Iskateley,RU,67.6803,53.1512,47.05,71,69,1.77,broken clouds
290,Yarkovo,RU,57.4028,67.0786,64.29,91,83,5.59,broken clouds
291,Partur,IN,19.6,76.2167,73.92,85,100,9.84,overcast clouds
292,Carmo Do Rio Verde,BR,-15.3536,-49.7075,86.72,23,51,8.32,broken clouds
293,Takoradi,GH,4.8845,-1.7554,76.48,79,66,10.29,broken clouds
294,Hithadhoo,MV,-0.6,73.0833,82.63,76,96,16.96,overcast clouds
295,Narsaq,GL,60.9167,-46.05,50.61,62,22,5.93,few clouds
296,Sekoma,BW,-24.4,23.8833,45.64,14,0,7.2,clear sky
297,Tsabong,BW,-26.0217,22.401,47.35,18,0,8.59,clear sky
298,Kilrush,IE,52.6397,-9.4833,77.88,68,86,2.93,light rain
299,Antalaha,MG,-14.9003,50.2788,67.82,84,6,7.87,clear sky
300,Polyanka,UA,50.2584,27.6881,65.19,67,42,4.59,scattered clouds
