City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,San Pedro,PH,81.63,moderate rain,14.35,121.0167,Villa Veronica Resort Private Pool
431,Panacan,PH,80.85,overcast clouds,9.2463,118.4082,Mom's Place Resort
436,Lorengau,PG,81.05,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
437,Marquette,US,81.68,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
443,Strezhevoy,RU,75.18,clear sky,60.7333,77.5889,Sibiryachka
445,Ajdabiya,LY,82.33,clear sky,30.7554,20.2263,Almadina Hotel
446,Ullapool,GB,78.35,broken clouds,57.8987,-5.1604,Argyll Hotel
447,Leshan,CN,75.34,broken clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
449,Kroya,ID,76.51,broken clouds,-7.6331,109.2461,RUSTANTO Fam
451,Lazaro Cardenas,MX,88.34,overcast clouds,17.9583,-102.2,quinta antigua
453,Martinsville,US,87.15,clear sky,36.6915,-79.8725,Hampton Inn Martinsville
454,Ternate,ID,81.75,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
459,Esmeraldas,BR,76.06,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
466,Opole Lubelskie,PL,75.78,scattered clouds,51.1478,21.969,Hotel Zacisze
467,Kussnacht,CH,83.75,broken clouds,47.0856,8.4421,Chalet-Hotel Lodge im Swiss-Chalet Merlischachen
468,Dovers,VC,82.02,overcast clouds,12.8833,-61.1833,Ocean Breeze
470,Puntarenas,CR,87.53,broken clouds,9.9763,-84.8384,Michael's Surfside Hotel
471,Susurluk,TR,76.84,few clouds,39.9136,28.1578,Çağan Pansiyon
475,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
477,Goderich,CA,80.04,scattered clouds,43.7501,-81.7165,Harmony Inn
479,Honiara,SB,75.92,scattered clouds,-9.4333,159.95,Heritage Park Hotel
482,La Romana,DO,89.96,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
484,Xiamen,CN,78.69,light rain,24.4798,118.0819,Xiamen Dongchen Hotel
485,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
486,Deqing,CN,78.76,light rain,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
487,Balotra,IN,82.27,light rain,25.8333,72.2333,Hotel City Square
489,Zhezkazgan,KZ,83.28,clear sky,47.8043,67.7144,Hotel Zumrat
491,Rio Grande,BR,80.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
492,Santa Catarina De Tepehuanes,MX,76.6,clear sky,25.35,-105.7333,hotel plaza
496,Santiago Del Estero,AR,82.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
499,Puerto Ayacucho,VE,81.82,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
500,Willemstad,CW,81.12,broken clouds,12.1084,-68.9335,Avila Beach Hotel
501,Cururupu,BR,86.13,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
504,Bloomfield,US,84.9,few clouds,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
508,Najran,SA,81.9,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
509,Bud,US,86.04,broken clouds,39.447,-86.1758,Ted McQuinn Trust
512,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
513,Vlore,AL,76.71,clear sky,40.4667,19.4897,Bologna Hotel
514,Sedalia,US,89.64,clear sky,38.7045,-93.2283,Best Western State Fair Inn
515,Katsuura,JP,81.1,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
516,San Jose,US,86.54,clear sky,37.3394,-121.895,The Westin San Jose
518,Ephrata,US,83.48,few clouds,40.1798,-76.1788,Hampton Inn & Suites Ephrata - Mountain Springs
519,Christiansburg,US,84.74,clear sky,37.1298,-80.4089,Hampton Inn Christiansburg/Blacksburg
520,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
523,Cumberland,US,89.69,few clouds,35.0502,-78.8664,American Eagle Inn
524,Bartica,GY,84.29,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
525,Mercedes,AR,76.03,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
527,Sayaxche,GT,87.69,broken clouds,16.5167,-90.1667,Hotel y Auto Hotel Arizona
528,Sergeyevka,KZ,77.27,broken clouds,53.88,67.4158,Amina
531,Komsomolskiy,UZ,83.12,scattered clouds,40.4272,71.7189,Ikathouse
532,Dan Khun Thot,TH,81.59,moderate rain,15.2085,101.7714,Sai Thong Hotel
533,Baraboo,US,89.15,scattered clouds,43.4711,-89.7443,Thunderbird Motor Inn
537,Sioux Lookout,CA,88.99,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
538,Kavaratti,IN,82.51,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
540,Poso,ID,76.3,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
551,Sint-Gillis-Waas,BE,77.32,scattered clouds,51.228,4.1206,Fruithof Tack
553,Tuy Hoa,VN,81.28,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
559,Fereydun Kenar,IR,84.25,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
562,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
564,Peru,US,86.59,scattered clouds,40.7537,-86.0689,Cole Porter Inn
568,Piacabucu,BR,78.22,few clouds,-10.4056,-36.4344,Piaçabuçu News
570,Acapulco,MX,87.71,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
575,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
576,Porto Santo,PT,75.11,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
577,San Roque,ES,81.43,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
578,Westport,US,84.06,clear sky,41.1415,-73.3579,The Westport Inn
579,Dawei,MM,78.62,light rain,14.0833,98.2,Hotel Dawei
580,Hami,CN,87.76,overcast clouds,42.8,93.45,Laoyutang Resort
582,Brownsburg,US,85.8,broken clouds,39.8434,-86.3978,Hampton Inn & Suites Indianapolis/Brownsburg
585,Virginia Beach,US,85.1,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
588,Chodavaram,IN,78.64,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
590,Kahului,US,78.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
592,Celestun,MX,87.42,broken clouds,20.8667,-90.4,Posada Lilia
593,Mastic Beach,US,84.22,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
598,Banda Aceh,ID,81.5,overcast clouds,5.5577,95.3222,Sulthan Hotel International
599,Salaga,GH,81.59,broken clouds,8.5508,-0.5188,Bore Nada Guest House
600,Farmington,US,88.11,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
603,Fos-Sur-Mer,FR,88.65,clear sky,43.4377,4.9446,Ariane Hotel
610,Tual,ID,79.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
611,Newark,US,84.9,scattered clouds,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
618,Samarai,PG,79.61,broken clouds,-10.6167,150.6667,Nuli Sapi
619,Lethem,GY,85.86,scattered clouds,3.3803,-59.7968,Savannah Inn
622,Darnah,LY,78.53,clear sky,32.767,22.6367,فندق الفردوس
623,Montauban,FR,83.08,overcast clouds,44.0833,1.5,Hôtel des Arts et Restaurant Les Gourmandises
625,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
626,Mana,GF,80.53,scattered clouds,5.6592,-53.7767,LE SAMANA
627,Koumra,TD,75.15,broken clouds,8.9126,17.5539,Motel Espoir
628,Manor,IN,80.87,overcast clouds,19.75,72.9167,Vegas Hotel And Lodging.
629,Bata,GQ,77.0,broken clouds,1.8639,9.7658,Hotel Elik Melen
633,Taylorville,US,88.18,scattered clouds,39.5489,-89.2945,Economy Inn
635,Shankargarh,IN,89.62,overcast clouds,25.1833,81.6167,Akash. Tea. Stal
639,Yibin,CN,77.79,light rain,28.7667,104.6238,Handsome Guesthouse
642,Polis,CY,80.42,clear sky,35.0367,32.4264,Marion
643,Craig,US,77.18,overcast clouds,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
645,Along,IN,76.01,few clouds,28.1667,94.7667,Hotel West
649,Minot,US,88.12,overcast clouds,48.2325,-101.2963,Noble Inn
653,Kilindoni,TZ,77.0,clear sky,-7.9139,39.6668,Bustani B&B
655,Fort Wellington,GY,84.76,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
659,Freital,DE,76.5,clear sky,51.0017,13.6488,Hotel Heidenschanze Dresden
662,Panjakent,TJ,84.0,few clouds,39.4952,67.6093,Salom Hostel
663,Mayo,US,87.12,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
664,San Cristobal,VE,81.21,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
665,Mahibadhoo,MV,83.03,broken clouds,3.7833,72.9667,Omadhoo Inn
667,Anaconda,US,76.96,clear sky,46.1285,-112.9423,Trade Wind Motel
